unicode,char,radical
U+4E00,一,1.0
U+4E01,丁,1.0
U+4E02,丂,1.0
U+4E03,七,1.0
U+4E04,丄,1.0
U+4E05,丅,1.0
U+4E06,丆,1.0
U+4E07,万,1.0
U+4E08,丈,1.0
U+4E09,三,1.0
U+4E0A,上,1.0
U+4E0B,下,1.0
U+4E0C,丌,1.0
U+4E0D,不,1.0
U+4E0E,与,1.0
U+4E0F,丏,1.0
U+4E10,丐,1.0
U+4E11,丑,1.0
U+4E12,丒,1.0
U+4E13,专,1.0
U+4E14,且,1.0
U+4E15,丕,1.0
U+4E16,世,1.0
U+4E17,丗,1.0
U+4E18,丘,1.0
U+4E19,丙,1.0
U+4E1A,业,1.0
U+4E1B,丛,1.0
U+4E1C,东,1.0
U+4E1D,丝,1.0
U+4E1E,丞,1.0
U+4E1F,丟,1.0
U+4E20,丠,1.0
U+4E21,両,1.0
U+4E22,丢,1.0
U+4E23,丣,1.0
U+4E24,两,1.0
U+4E25,严,1.0
U+4E26,並,1.0
U+4E27,丧,1.0
U+4E28,丨,2.0
U+4E29,丩,2.0
U+4E2A,个,2.0
U+4E2B,丫,2.0
U+4E2C,丬,90.0
U+4E2D,中,2.0
U+4E2E,丮,2.0
U+4E2F,丯,2.0
U+4E30,丰,2.0
U+4E31,丱,2.0
U+4E32,串,2.0
U+4E33,丳,2.0
U+4E34,临,2.0
U+4E35,丵,2.0
U+4E36,丶,3.0
U+4E37,丷,3.0
U+4E38,丸,3.0
U+4E39,丹,3.0
U+4E3A,为,3.0
U+4E3B,主,3.0
U+4E3C,丼,3.0
U+4E3D,丽,1.0
U+4E3E,举,3.0
U+4E3F,丿,4.0
U+4E40,乀,4.0
U+4E41,乁,4.0
U+4E42,乂,4.0
U+4E43,乃,4.0
U+4E44,乄,4.0
U+4E45,久,4.0
U+4E46,乆,4.0
U+4E47,乇,4.0
U+4E48,么,4.0
U+4E49,义,3.0
U+4E4A,乊,4.0
U+4E4B,之,4.0
U+4E4C,乌,4.0
U+4E4D,乍,4.0
U+4E4E,乎,4.0
U+4E4F,乏,4.0
U+4E50,乐,4.0
U+4E51,乑,4.0
U+4E52,乒,4.0
U+4E53,乓,4.0
U+4E54,乔,4.0
U+4E55,乕,4.0
U+4E56,乖,4.0
U+4E57,乗,4.0
U+4E58,乘,4.0
U+4E59,乙,5.0
U+4E5A,乚,5.0
U+4E5B,乛,5.0
U+4E5C,乜,5.0
U+4E5D,九,5.0
U+4E5E,乞,5.0
U+4E5F,也,5.0
U+4E60,习,5.0
U+4E61,乡,52.0
U+4E62,乢,46.0
U+4E63,乣,5.0
U+4E64,乤,5.0
U+4E65,乥,5.0
U+4E66,书,5.0
U+4E67,乧,5.0
U+4E68,乨,5.0
U+4E69,乩,5.0
U+4E6A,乪,5.0
U+4E6B,乫,5.0
U+4E6C,乬,5.0
U+4E6D,乭,5.0
U+4E6E,乮,5.0
U+4E6F,乯,5.0
U+4E70,买,5.0
U+4E71,乱,5.0
U+4E72,乲,5.0
U+4E73,乳,5.0
U+4E74,乴,5.0
U+4E75,乵,5.0
U+4E76,乶,5.0
U+4E77,乷,5.0
U+4E78,乸,5.0
U+4E79,乹,5.0
U+4E7A,乺,5.0
U+4E7B,乻,5.0
U+4E7C,乼,5.0
U+4E7D,乽,5.0
U+4E7E,乾,5.0
U+4E7F,乿,5.0
U+4E80,亀,5.0
U+4E81,亁,5.0
U+4E82,亂,5.0
U+4E83,亃,5.0
U+4E84,亄,5.0
U+4E85,亅,6.0
U+4E86,了,6.0
U+4E87,亇,6.0
U+4E88,予,6.0
U+4E89,争,6.0
U+4E8A,亊,6.0
U+4E8B,事,6.0
U+4E8C,二,7.0
U+4E8D,亍,7.0
U+4E8E,于,7.0
U+4E8F,亏,7.0
U+4E90,亐,1.0
U+4E91,云,7.0
U+4E92,互,7.0
U+4E93,亓,7.0
U+4E94,五,7.0
U+4E95,井,7.0
U+4E96,亖,7.0
U+4E97,亗,7.0
U+4E98,亘,7.0
U+4E99,亙,7.0
U+4E9A,亚,7.0
U+4E9B,些,7.0
U+4E9C,亜,7.0
U+4E9D,亝,7.0
U+4E9E,亞,7.0
U+4E9F,亟,7.0
U+4EA0,亠,8.0
U+4EA1,亡,8.0
U+4EA2,亢,8.0
U+4EA3,亣,8.0
U+4EA4,交,8.0
U+4EA5,亥,8.0
U+4EA6,亦,8.0
U+4EA7,产,8.0
U+4EA8,亨,8.0
U+4EA9,亩,8.0
U+4EAA,亪,8.0
U+4EAB,享,8.0
U+4EAC,京,8.0
U+4EAD,亭,8.0
U+4EAE,亮,8.0
U+4EAF,亯,8.0
U+4EB0,亰,8.0
U+4EB1,亱,8.0
U+4EB2,亲,8.0
U+4EB3,亳,8.0
U+4EB4,亴,8.0
U+4EB5,亵,8.0
U+4EB6,亶,8.0
U+4EB7,亷,8.0
U+4EB8,亸,8.0
U+4EB9,亹,8.0
U+4EBA,人,9.0
U+4EBB,亻,9.0
U+4EBC,亼,9.0
U+4EBD,亽,9.0
U+4EBE,亾,9.0
U+4EBF,亿,9.0
U+4EC0,什,9.0
U+4EC1,仁,9.0
U+4EC2,仂,9.0
U+4EC3,仃,9.0
U+4EC4,仄,9.0
