unicode,seal_radical,trad_radical,simp_radical
19968,一,一,1.0
19969,丁,一,1.0
19970,丂,一,1.0
19971,七,一,1.0
19972,丄,一,1.0
19973,丄,一,1.0
19974,,,1.0
19975,禸,一,1.0
19976,十,一,1.0
19977,三,一,1.0
19978,丄,一,1.0
19979,丄,一,1.0
19980,丌,一,1.0
19981,不,一,1.0
19982,勺,一,1.0
19983,丏,一,1.0
19984,亡,一,1.0
19985,丑,一,1.0
19986,丑,,1.0
19987,寸,寸,1.0
19988,且,一,1.0
19989,一,一,1.0
19990,𠦃,一,1.0
19991,𠦃,十,1.0
19992,丘,一,1.0
19993,丙,一,1.0
19994,丵,木,1.0
19995,丵,又,1.0
19996,東,木,1.0
19997,絲,糸,1.0
19998,廾,一,1.0
19999,,一,1.0
20000,丘,一,1.0
20001,,入,1.0
20002,,一,1.0
20003,酉,一,1.0
20004,㒳,入,1.0
20005,吅,口,1.0
20006,並,一,1.0
20007,哭,口,1.0
20008,丨,丨,2.0
20009,丩,丨,2.0
20010,竹,丨,2.0
20011,,丨,2.0
20012,片,爿,90.0
20013,丨,丨,2.0
20014,丮,丨,2.0
20015,丯,丨,2.0
20016,生,丨,2.0
20017,石,丨,2.0
20018,,丨,2.0
20019,,丨,2.0
20020,臥,臣,2.0
20021,丵,丨,2.0
20022,丶,丶,3.0
20023,,,3.0
20024,丸,丶,3.0
20025,丹,丶,3.0
20026,爪,爪,3.0
20027,丶,丶,3.0
20028,井,丶,3.0
20029,鹿,丶,1.0
20030,手,手,3.0
20031,丿,丿,4.0
20032,丿,丿,4.0
20033,乁,丿,4.0
20034,丿,丿,4.0
20035,乃,丿,4.0
20036,,,4.0
20037,久,丿,4.0
20038,久,丿,4.0
20039,乇,丿,4.0
20040,幺,丿,4.0
20041,我,羊,3.0
20042,,,4.0
20043,之,丿,4.0
20044,烏,火,4.0
20045,亡,丿,4.0
20046,兮,丿,4.0
20047,正,丿,4.0
20048,木,木,4.0
20049,㐺,丿,4.0
20050,,水,4.0
20051,,水,4.0
20052,夭,口,4.0
20053,,虍,4.0
20054,𦫳,丿,4.0
20055,桀,丿,4.0
20056,桀,丿,4.0
20057,乙,乙,5.0
20058,𠃉,,5.0
20059,,,5.0
20060,,乙,5.0
20061,九,乙,5.0
20062,气,乙,5.0
20063,乁,乙,5.0
20064,習,羽,5.0
20065,𨛜,邑,52.0
20066,,乙,46.0
20067,,乙,5.0
20068,,,5.0
20069,,,5.0
20070,聿,曰,5.0
20071,,,5.0
20072,,乙,5.0
20073,,乙,5.0
20074,,,5.0
20075,,,5.0
20076,,,5.0
