unicode,char,decomposition
U+03401,㐁,→𠀬
U+03402,㐂,⿱七⿰七七
U+03404,㐄,<夊>
U+03405,㐅,←五
U+03406,㐆,<身>
U+0342C,㐬,→𡿮
U+0342D,㐭,⿱入回
U+03430,㐰,←信
U+03431,㐱,⿱𠆢彡
U+03439,㐹,⿰亻气
U+0343A,㐺,⿲人人人
U+03442,㑂,←仿
U+03444,㑄,←侮
U+03457,㑗,⿰亻身
U+0345E,㑞,⿰亻灷
U+03465,㑥,⿰亻易
U+03468,㑨,→侯
U+0346E,㑮,⿰亻軍
U+03474,㑴,⿰亻⿱帚又
U+03475,㑵,⿰亻疾
U+03477,㑷,⿰亻能
U+03479,㑹,→會
U+0347E,㑾,⿰亻䚻
U+03484,㒄,⿰亻然
U+0348D,㒍,⿰亻絫
U+034A4,㒤,⿰亻聶
U+034A8,㒨,→𠑗
U+034AB,㒫,<欠>
U+034B0,㒰,⿱入工
U+034B3,㒳,㒳
U+034B8,㒸,㒸
U+034BA,㒺,⿵网亾
U+034BC,㒼,㒼
U+034C3,㓃,⿱冖託
U+034D6,㓖,⿰冫畢
U+034DD,㓝,→𠛜
U+034DE,㓞,⿰丰刀
U+034E0,㓠,⿰占刂
U+034E1,㓡,⿰缶刂
U+034F5,㓵,→𠟎
U+034F7,㓷,⿰臬刂
U+034F9,㓹,⿸厂剡
U+034FC,㓼,⿰桼刂
U+0350E,㔎,⿱辥刀
U+0351F,㔟,→勢
U+03523,㔣,⿰靁力
U+0352C,㔬,⿱匕早
U+03532,㔲,⿷匚⿰飠九
U+03534,㔴,⿷匚異
U+03536,㔶,⿷匚贛
U+03537,㔷,⿷匚丙
U+03539,㔹,⿰十力
U+0353B,㔻,←丕
U+0353E,㔾,→卩
U+0353F,㔿,<卪>
U+03546,㕆,⿸厂古
U+03547,㕇,⿸厂立
U+0354A,㕊,⿸厂甫
U+0354B,㕋,⿸厂金
U+03552,㕒,⿸厂義
U+03557,㕗,⿺羑厶
U+0355A,㕚,㕚
U+0355B,㕛,⿱又又
U+0355C,㕜,⿱中又
U+0355D,㕝,→事
U+0355E,㕞,⿰⿸尸巾又
U+03561,㕡,⿹𣦻谷
U+03562,㕢,⿹𣦻貝
U+03563,㕣,⿱儿口
U+0356F,㕯,⿵內口
