char,onset,nucleus,coda,tone
一,j,ɐ,t,˥
丁,t,ɪ,ŋ,˥
丂,,,,
七,tsʰ,ɐ,t,˥
丄,,,,
丅,tʰ,i:,,˥
丆,,,,
万,m,a:,n,˨
丈,ts,œ:,ŋ,˨
三,s,a:,m,˥
上,s,œ:,ŋ,˩˧
下,h,a:,,˩˧
丌,k,ei,,˥
不,p,ɐ,t,˥
与,j,y:,,˩˨
丏,m,i:,n,˩˧
丐,kʰ,ɔ:i,,˧
丑,tsʰ,ɐu,,˧˥
丒,,,,
专,ts,y:,n,˥
且,tsʰ,ɛ:,,˧˥
丕,pʰ,ei,,˥
世,s,ɐi,,˧
丗,,,,
丘,j,ɐu,,˥
丙,p,ɪ,ŋ,˧˥
业,j,i:,p,˨
丛,tsʰ,ʊ,ŋ,˩˨
东,t,ʊ,ŋ,˥
丝,s,i:,,˥
丞,s,ɪ,ŋ,˩˨
丟,t,i:u,,˥
丠,,,,
両,l,œ:,ŋ,˩˧
丢,t,i:u,,˥
丣,j,ɐu,,˩˧
两,l,œ:,ŋ,˩˧
严,j,i:,m,˩˨
並,p,ɪ,ŋ,˧
丧,s,ɔ:,ŋ,˧
丨,j,ɐ,t,˥
丩,,,,
个,k,ɔ:,,˧
丫,,a:,,˥
丬,p,a:,n,˧˥
中,ts,ʊ,ŋ,˥
丮,,,,
丯,,,,
丰,f,ʊ,ŋ,˥
丱,kw,a:,n,˧
串,tsʰ,y:,n,˧
丳,tsʰ,a:,n,˧˥
临,l,ɐ,m,˩˨
丵,,,,
丶,ts,y:,,˧˥
丷,,,,
丸,j,y:,n,˧˥
丹,t,a:,n,˥
为,w,ɐi,,˩˨
主,ts,y:,,˧˥
丼,ts,ɛ:,ŋ,˧˥
丽,l,ɐi,,˨
举,k,ɵy,,˧˥
丿,pʰ,i:,t,˧
乀,,,,
乁,,,,
乂,ŋ,a:i,,˨
乃,n,a:i,,˩˧
乄,,,,
久,k,ɐu,,˧˥
乆,,,,
乇,tʰ,ɔ:,k,˧
么,j,i:u,,˥
义,j,i:,,˨
乊,,,,
之,ts,i:,,˥
乌,w,u:,,˥
乍,ts,a:,,˧
乎,f,u:,,˥
乏,f,ɐ,t,˨
乐,l,ɔ:,k,˨
乑,,,,
乒,p,ɪ,ŋ,˥
乓,p,ɐ,m,˥
乔,kʰ,i:u,,˩˨
乕,,,,
乖,kw,a:i,,˥
乗,,,,
乘,s,ɪ,ŋ,˩˨
乙,j,y:,t,˧
乚,,,,
乛,,,,
乜,m,ɐ,t,˥
九,k,ɐu,,˧˥
乞,h,ɐ,t,˥
也,j,a:,,˩˧
习,ts,a:,p,˨
乡,h,œ:,ŋ,˥
乢,,,,
乣,,,,
乤,,,,
乥,,,,
书,s,y:,,˥
乧,,,,
乨,,,,
乩,k,ei,,˥
乪,kʰ,ɛ:,k,˨
乫,,,,
乬,,,,
乭,,,,
乮,,,,
乯,,,,
买,m,a:i,,˩˧
乱,l,y:,n,˨
乲,,,,
乳,j,y:,,˩˧
乴,,,,
乵,,,,
乶,,,,
乷,,,,
乸,n,a:,,˧˥
乹,k,ɔ:,n,˥
乺,,,,
乻,,,,
乼,,,,
乽,,,,
乾,k,ɔ:,n,˥
乿,,,,
亀,,,,
亁,,,,
亂,l,y:,n,˨
