codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
19968,一,ɦ,əŋ,³³,ql,i,ɡ,,i,1,j,ɐ,t,˥
19969,丁,t,eŋ,³³,rt,e,̠ŋ,t,iŋ,1,t,ɪ,ŋ,˥
19970,丂,kʰ,ɑu,³⁵,kh,u,̠ʔ,kʰ,ɑʊ,3,,,,
19971,七,tsʰ,it̲̲,³,sn̥,i,d,tɕʰ,i,1,tsʰ,ɐ,t,˥
19972,丄,dʑj,aŋ,³⁵,dj,a,ŋʔ,ʂ,ɑŋ,4,,,,
19973,丅,ɦɰæ,,³⁵,ɡr,a,̠ʔ,ɕ,ja,4,tʰ,i:,,˥
19974,丆,ʑʷ,iᴇn,³¹,,,,x,an,3,,,,
19975,万,mʷj,ɤn,³¹,m,ɯ,̠ɡ,,wan,4,m,a:,n,˨
19976,丈,ɖj,aŋ,³⁵,d,a,ŋʔ,ʈʂ,ɑŋ,4,ts,œ:,ŋ,˨
19977,三,s,ɑm,³³,sl,o,̠ms,s,an,1,s,a:,m,˥
19978,上,dʑj,aŋ,³⁵,dj,a,ŋʔ,ʂ,ɑŋ,4,s,œ:,ŋ,˩˧
19979,下,ɦɰæ,,³¹,ɡr,a,̠s,ɕ,ja,4,h,a:,,˩˧
19980,丌,k,ɨ,³³,k,ɯ,,tɕ,i,1,k,ei,,˥
19981,不,pj,ʊ,³³,p,ɯ,ʔ,p,u,4,p,ɐ,t,˥
19982,与,j,ɤ,³⁵,ɢl,a,ʔ,,y,3,j,y:,,˩˨
19983,丏,m,iᴇn,³⁵,m,e,̠nʔ,m,jɛn,3,m,i:,n,˩˧
19984,丐,k,ɑi,³¹,k,a,̠ds,k,ai,4,kʰ,ɔ:i,,˧
19985,丑,tɕʰ,ɨu,³⁵,m̥‧l,u,ʔ,ʈʂʰ,oʊ,3,tsʰ,ɐu,,˧˥
19986,丒,,,,,,,ʈʂʰ,oʊ,3,,,,
19987,专,tɕʷ,iᴇn,³³,,,,ʈʂ,wan,1,ts,y:,n,˥
19988,且,tsʰjæ,,³⁵,sk,a,,tɕʰ,je,3,tsʰ,ɛ:,,˧˥
19989,丕,pɰ,i,³³,phr,ɯ,,pʰ,i,1,pʰ,ei,,˥
19990,世,ɕ,iᴇi,³¹,qhlj,e,bs,ʂ,i,4,s,ɐi,,˧
19991,丗,ɕ,iᴇi,³¹,,,,ʂ,i,4,,,,
19992,丘,kʰ,ɨu,³³,kh,ɯ,,tɕʰ,,1,j,ɐu,,˥
19993,丙,pɰjæŋ,,³⁵,pkr,a,ŋʔ,p,iŋ,3,p,ɪ,ŋ,˧˥
19994,业,ŋj,ap̲̲,³,,,,,je,4,j,i:,p,˨
19995,丛,dz,uŋ,³³,,,,tsʰ,ʊŋ,2,tsʰ,ʊ,ŋ,˩˨
19996,东,t,uŋ,³³,,,,t,ʊŋ,1,t,ʊ,ŋ,˥
19997,丝,s,ɨ,³³,,,,s,i,1,s,i:,,˥
19998,丞,dʑ,ɨŋ,³¹,ɡj,ɯ,ŋ,ʈʂʰ,ɤŋ,2,s,ɪ,ŋ,˩˨
19999,丟,,,,,,,t,,1,t,i:u,,˥
20000,丠,pʷ,ɑ,³¹,kh,ɯ,,tɕʰ,,1,,,,
20001,両,,,,,,,l,jɑŋ,3,l,œ:,ŋ,˩˧
20002,丢,,,,,,,t,,1,t,i:u,,˥
20003,丣,j,ɨu,³⁵,ɢl,u,ʔ,,,3,j,ɐu,,˩˧
20004,两,lj,aŋ,³⁵,,,,l,jɑŋ,3,l,œ:,ŋ,˩˧
20005,严,ŋj,am,³³,,,,,jɛn,2,j,i:,m,˩˨
20006,並,bʷ,ɑn,³⁵,b,e,̠ŋʔ,p,iŋ,4,p,ɪ,ŋ,˧
20007,丧,s,ɑŋ,³¹,,,,s,ɑŋ,4,s,ɔ:,ŋ,˧
20008,丨,dz,iᴇŋ,³⁵,k,u,̠nʔ,k,,3,j,ɐ,t,˥
20009,丩,kʰj,u,³³,kr,ɯ,w,tɕ,,1,,,,
