character,ipa_initial,ipa_final,tone
一,,i,1
丁,t,iŋ,1
丂,kʰ,ɑʊ,3
七,tɕʰ,i,1
丄,ʂ,ɑŋ,4
丅,ɕ,ja,4
丆,x,an,3
万,,wan,4
丈,ʈʂ,ɑŋ,4
三,s,an,1
上,ʂ,ɑŋ,4
下,ɕ,ja,4
丌,tɕ,i,1
不,p,u,4
与,,y,3
丏,m,jɛn,3
丐,k,ai,4
丑,ʈʂʰ,oʊ,3
丒,ʈʂʰ,oʊ,3
专,ʈʂ,wan,1
且,tɕʰ,je,3
丕,pʰ,i,1
世,ʂ,i,4
丗,ʂ,i,4
丘,tɕʰ,,1
丙,p,iŋ,3
业,,je,4
丛,tsʰ,ʊŋ,2
东,t,ʊŋ,1
丝,s,i,1
丞,ʈʂʰ,ɤŋ,2
丟,t,,1
丠,tɕʰ,,1
両,l,jɑŋ,3
丢,t,,1
丣,,,3
两,l,jɑŋ,3
严,,jɛn,2
並,p,iŋ,4
丧,s,ɑŋ,4
丨,k,,3
丩,tɕ,,1
个,k,ɤ,4
丫,,ja,1
丬,tɕʰ,jɑŋ,2
中,ʈʂ,ʊŋ,1
丮,tɕ,i,3
丯,tɕ,je,4
丰,f,ɤŋ,1
丱,k,wan,4
串,ʈʂʰ,wan,4
丳,ʈʂʰ,an,3
临,l,in,2
丵,ʈʂ,uɔ,2
丶,ʈʂ,u,3
丷,p,a,1
丸,,wan,2
丹,t,an,1
为,,,4
主,ʈʂ,u,3
丼,tɕ,iŋ,3
丽,l,i,4
举,tɕ,y,3
丿,pʰ,je,3
乀,f,u,2
乁,,i,2
乂,,i,4
乃,n,ai,3
乄,,u,3
久,tɕ,,3
乆,tɕ,,3
乇,tʰ,uɔ,1
么,m,ɤ,e
义,,i,4
乊,,i,1
之,ʈʂ,i,1
乌,,u,1
乍,ʈʂ,a,4
乎,x,u,1
乏,f,a,2
乐,l,ɤ,4
乑,,in,2
乒,pʰ,iŋ,1
乓,pʰ,ɑŋ,1
乔,tɕʰ,jɑʊ,2
乕,x,u,3
乖,k,wai,1
乗,ʈʂʰ,ɤŋ,2
乘,ʈʂʰ,ɤŋ,2
乙,,i,3
乚,,in,3
乛,,ja,a
乜,m,je,1
九,tɕ,,3
乞,tɕʰ,i,3
也,,je,3
习,ɕ,i,2
乡,ɕ,jɑŋ,1
乢,k,ai,4
乣,tɕ,,3
乤,ɕ,ja,4
乥,x,u,4
书,ʂ,u,1
乧,t,oʊ,3
乨,ʂ,i,3
乩,tɕ,i,1
乪,n,ɑŋ,2
乫,tɕ,ja,1
乬,tɕ,y,4
乭,ʂ,i,2
乮,m,ɑʊ,3
乯,x,u,1
买,m,ai,3
乱,l,wan,4
乲,ts,i,1
乳,ʐ,u,3
乴,ɕ,yɛ,2
乵,,jɛn,3
乶,f,u,3
乷,ʂ,a,1
乸,n,a,3
乹,k,an,1
乺,s,uɔ,3
乻,,y,2
乼,tsʰ,,i
乽,ʈʂ,ɤ,3
乾,tɕʰ,jɛn,2
乿,ʈʂ,i,4
亀,k,,1
亁,k,an,1
亂,l,wan,4
亃,l,in,3
亄,,i,4
亅,tɕ,yɛ,2
了,l,ɤ,e
亇,m,a,a
予,,y,3
争,ʈʂ,ɤŋ,1
亊,ʂ,i,4
事,ʂ,i,4
二,,,4
亍,ʈʂʰ,u,4
于,,y,2
亏,kʰ,,1
亐,,y,2
云,,yn,2
互,x,u,4
亓,tɕʰ,i,2
五,,u,3
井,tɕ,iŋ,3
亖,s,i,4
亗,s,,4
亘,k,ən,4
亙,k,ən,4
亚,,ja,4
些,ɕ,je,1
亜,,ja,4
亝,tɕʰ,i,2
亞,,ja,4
亟,tɕ,i,2
亠,tʰ,oʊ,2
亡,,wɑŋ,2
亢,kʰ,ɑŋ,4
亣,t,a,4
交,tɕ,jɑʊ,1
亥,x,ai,4
亦,,i,4
产,ʈʂʰ,an,3
亨,x,ɤŋ,1
亩,m,u,3
亪,,je,e
享,ɕ,jɑŋ,3
京,tɕ,iŋ,1
亭,tʰ,iŋ,2
亮,l,jɑŋ,4
亯,ɕ,jɑŋ,3
亰,tɕ,iŋ,1
亱,,je,4
亲,tɕʰ,in,1
亳,p,uɔ,2
亴,,,4
亵,ɕ,je,4
亶,t,an,3
亷,l,jɛn,2
亸,t,uɔ,3
亹,,,3
人,ʐ,ən,2
亻,ʐ,ən,2
亼,tɕ,i,2
亽,tɕ,i,2
亾,,wɑŋ,2
亿,,i,4
什,ʂ,ən,2
仁,ʐ,ən,2
仂,l,ɤ,4
仃,t,iŋ,1
仄,ts,ɤ,4
仅,tɕ,in,3
仆,pʰ,u,1
仇,ʈʂʰ,oʊ,2
仈,p,a,1
仉,ʈʂ,ɑŋ,3
今,tɕ,in,1
介,tɕ,je,4
仌,p,iŋ,1
仍,ʐ,ɤŋ,2
从,tsʰ,ʊŋ,2
仏,f,uɔ,2
仐,s,an,3
仑,l,,2
仒,p,iŋ,1
仓,tsʰ,ɑŋ,1
仔,ts,ai,3
仕,ʂ,i,4
他,tʰ,a,1
仗,ʈʂ,ɑŋ,4
付,f,u,4
仙,ɕ,jɛn,1
仚,ɕ,jɛn,1
仛,tʰ,uɔ,1
仜,x,ʊŋ,2
仝,tʰ,ʊŋ,2
仞,ʐ,ən,4
仟,tɕʰ,jɛn,1
仠,k,an,3
仡,k,ɤ,1
仢,p,uɔ,2
代,t,ai,4
令,l,iŋ,4
以,,i,3
仦,ʈʂʰ,ɑʊ,4
仧,ʈʂʰ,ɑŋ,2
仨,s,a,1
仩,ʈʂʰ,ɑŋ,2
仪,,i,2
仫,m,u,4
们,m,ən,n
仭,ʐ,ən,4
仮,f,an,3
仯,ʈʂʰ,ɑʊ,4
仰,,jɑŋ,3
仱,tɕʰ,jɛn,2
仲,ʈʂ,ʊŋ,4
仳,pʰ,i,3
仴,,uɔ,4
仵,,u,3
件,tɕ,jɛn,4
价,tɕ,ja,4
仸,,jɑʊ,3
仹,f,ɤŋ,1
仺,tsʰ,ɑŋ,1
任,ʐ,ən,4
仼,,wɑŋ,2
份,f,ən,4
仾,t,i,1
仿,f,ɑŋ,3
伀,ʈʂ,ʊŋ,1
企,tɕʰ,i,3
伂,pʰ,ei,4
伃,,y,2
伄,t,jɑʊ,4
伅,t,,4
伆,,u,4
伇,,i,4
伈,ɕ,in,3
伉,kʰ,ɑŋ,4
伊,,i,1
伋,tɕ,i,2
伌,,ai,4
伍,,u,3
伎,tɕ,i,4
伏,f,u,2
伐,f,a,2
休,ɕ,,1
伒,tɕ,in,4
伓,pʰ,i,1
伔,t,an,3
伕,f,u,1
伖,tʰ,ɑŋ,3
众,ʈʂ,ʊŋ,4
优,,,1
伙,x,uɔ,3
会,x,,4
伛,,y,3
伜,tsʰ,,4
伝,,yn,2
伞,s,an,3
伟,,,3
传,ʈʂʰ,wan,2
伡,ʈʂʰ,ɤ,1
伢,,ja,2
伣,tɕʰ,jɛn,4
伤,ʂ,ɑŋ,1
伥,ʈʂʰ,ɑŋ,1
伦,l,,2
伧,tsʰ,ɑŋ,1
伨,ɕ,yn,4
伩,ɕ,in,4
伪,,,3
伫,ʈʂ,u,4
伬,ts,ɤ,e
伭,ɕ,jɛn,2
伮,n,u,3
伯,p,uɔ,2
估,k,u,1
伱,n,i,3
伲,n,i,4
伳,ɕ,je,4
伴,p,an,4
伵,ɕ,y,4
伶,l,iŋ,2
伷,ʈʂ,oʊ,4
伸,ʂ,ən,1
伹,tɕʰ,y,1
伺,tsʰ,i,4
伻,p,ɤŋ,1
似,ʂ,i,4
伽,k,a,1
伾,pʰ,i,1
伿,,i,4
佀,s,i,4
佁,,i,3
佂,ʈʂ,ɤŋ,1
佃,t,jɛn,4
佄,x,an,1
佅,m,ai,4
但,t,an,4
佇,ʈʂ,u,4
佈,p,u,4
佉,tɕʰ,y,1
佊,p,i,3
佋,ʈʂ,ɑʊ,1
佌,tsʰ,i,3
位,,,4
低,t,i,1
住,ʈʂ,u,4
佐,ts,uɔ,3
佑,,,4
佒,,jɑŋ,3
体,tʰ,i,3
佔,ʈʂ,an,4
何,x,ɤ,2
佖,p,i,4
佗,tʰ,uɔ,2
佘,ʂ,ɤ,2
余,,y,2
佚,,i,4
佛,f,u,2
作,ts,uɔ,4
佝,k,oʊ,1
佞,n,iŋ,4
佟,tʰ,ʊŋ,2
你,n,i,3
佡,ɕ,jɛn,1
佢,tɕʰ,y,2
佣,,jʊŋ,1
佤,,wa,3
佥,tɕʰ,jɛn,1
佦,ʂ,i,i
佧,kʰ,a,3
佨,p,ɑʊ,1
佩,pʰ,ei,4
佪,x,,2
佫,x,ɤ,4
佬,l,ɑʊ,3
佭,ɕ,jɑŋ,2
佮,k,ɤ,2
佯,,jɑŋ,2
佰,p,ai,3
佱,f,a,3
佲,m,iŋ,3
佳,tɕ,ja,1
佴,,,4
併,p,iŋ,4
佶,tɕ,i,2
佷,x,ən,3
佸,x,uɔ,2
佹,k,,3
佺,tɕʰ,yan,2
佻,tʰ,jɑʊ,1
佼,tɕ,jɑʊ,3
佽,tsʰ,i,4
佾,,i,4
使,ʂ,i,3
侀,ɕ,iŋ,2
侁,ʂ,ən,1
侂,tʰ,uɔ,1
侃,kʰ,an,3
侄,ʈʂ,i,2
侅,k,ai,1
來,l,ai,2
侇,,i,2
侈,ʈʂʰ,i,3
侉,kʰ,wa,3
侊,k,wɑŋ,1
例,l,i,4
侌,,in,1
侍,ʂ,i,4
侎,m,i,3
侏,ʈʂ,u,1
侐,ɕ,y,4
侑,,,4
侒,,an,1
侓,l,u,4
侔,m,oʊ,2
侕,,,2
侖,l,,2
侗,t,ʊŋ,4
侘,ʈʂʰ,a,4
侙,ʈʂʰ,i,1
侚,ɕ,yn,4
供,k,ʊŋ,1
侜,ʈʂ,oʊ,1
依,,i,1
侞,ʐ,u,2
侟,tsʰ,,2
侠,ɕ,ja,2
価,s,i,4
侢,t,ai,4
侣,l,y,3
侤,tʰ,a,a
侥,tɕ,jɑʊ,3
