codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
19968,一,ɦəŋ³³,ɦ,əŋ,³³,ql,i,ɡ
19969,丁,teŋ³³,t,eŋ,³³,rt,e,̠ŋ
19970,丂,kʰɑu³⁵,kʰ,ɑu,³⁵,kh,u,̠ʔ
19971,七,tsʰit³̲³̲,tsʰ,it̲̲,³,sn̥,i,d
19972,丄,dʑjaŋ³⁵,dʑj,aŋ,³⁵,dj,a,ŋʔ
19973,丅,ɦɰæ³⁵,ɦɰæ,,³⁵,ɡr,a,̠ʔ
19974,丆,ʑʷiᴇn³¹,ʑʷ,iᴇn,³¹,,,
19975,万,mʷjɤn³¹,mʷj,ɤn,³¹,m,ɯ,̠ɡ
19976,丈,ɖjaŋ³⁵,ɖj,aŋ,³⁵,d,a,ŋʔ
19977,三,sɑm³³,s,ɑm,³³,sl,o,̠ms
19978,上,dʑjaŋ³⁵,dʑj,aŋ,³⁵,dj,a,ŋʔ
19979,下,ɦɰæ³¹,ɦɰæ,,³¹,ɡr,a,̠s
19980,丌,kɨ³³,k,ɨ,³³,k,ɯ,
19981,不,pjʊ³³,pj,ʊ,³³,p,ɯ,ʔ
19982,与,jɤ³⁵,j,ɤ,³⁵,ɢl,a,ʔ
19983,丏,miᴇn³⁵,m,iᴇn,³⁵,m,e,̠nʔ
19984,丐,kɑi³¹,k,ɑi,³¹,k,a,̠ds
19985,丑,tɕʰɨu³⁵,tɕʰ,ɨu,³⁵,m̥‧l,u,ʔ
19986,丒,,,,,,,
19987,专,tɕʷiᴇn³³,tɕʷ,iᴇn,³³,,,
19988,且,tsʰjæ³⁵,tsʰjæ,,³⁵,sk,a,
19989,丕,pɰi³³,pɰ,i,³³,phr,ɯ,
19990,世,ɕiᴇi³¹,ɕ,iᴇi,³¹,qhlj,e,bs
19991,丗,ɕiᴇi³¹,ɕ,iᴇi,³¹,,,
19992,丘,kʰɨu³³,kʰ,ɨu,³³,kh,ɯ,
19993,丙,pɰjæŋ³⁵,pɰjæŋ,,³⁵,pkr,a,ŋʔ
19994,业,ŋjap³̲³̲,ŋj,ap̲̲,³,,,
19995,丛,dzuŋ³³,dz,uŋ,³³,,,
19996,东,tuŋ³³,t,uŋ,³³,,,
19997,丝,sɨ³³,s,ɨ,³³,,,
19998,丞,dʑɨŋ³¹,dʑ,ɨŋ,³¹,ɡj,ɯ,ŋ
19999,丟,,,,,,,
20000,丠,pʷɑ³¹,pʷ,ɑ,³¹,kh,ɯ,
20001,両,,,,,,,
20002,丢,,,,,,,
20003,丣,jɨu³⁵,j,ɨu,³⁵,ɢl,u,ʔ
20004,两,ljaŋ³⁵,lj,aŋ,³⁵,,,
20005,严,ŋjam³³,ŋj,am,³³,,,
20006,並,bʷɑn³⁵,bʷ,ɑn,³⁵,b,e,̠ŋʔ
20007,丧,sɑŋ³¹,s,ɑŋ,³¹,,,
20008,丨,dziᴇŋ³⁵,dz,iᴇŋ,³⁵,k,u,̠nʔ
20009,丩,kʰju³³,kʰj,u,³³,kr,ɯ,w
20010,个,ȵɰæm³³,ȵɰæm,,³³,k,a,̠ls
20011,丫,ʔɰæ³³,ʔɰæ,,³³,,,
20012,丬,,,,,,,
20013,中,ʈjuŋ³¹,ʈj,uŋ,³¹,k‧l,u,ŋs
20014,丮,kɰjæk³̲³̲,kɰjæk̲̲,,³,kr,a,ɡ
20015,丯,kɰɛi³¹,kɰ,ɛi,³¹,kr,e,̠ds
20016,丰,pʰjʊŋ³³,pʰj,ʊŋ,³³,ph,o,ŋ
20017,丱,kʷɰæn³¹,kʷɰæn,,³¹,kr,o,̠ns
20018,串,ʔɨk³̲³̲,ʔ,ɨk̲̲,³,kr,o,̠ns
