character,MiddleTang,LateTang,Song,Yuan,MingQing,Mandarin
菄,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
鸫,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
倲,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
涷,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
蝀,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
冻,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
鯟,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
岽,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
埬,t - o ŋ,t - u ŋ,t - u ŋ,,,t - u ŋ
仝,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
童,d - o ŋ,d - u ŋ,tʰ - u ŋ,tʰ - u ŋ,,tʰ - u ŋ
僮,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
铜,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
桐,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
峒,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
硐,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,t - u ŋ
筒,d - o ŋ,d - u ŋ,tʰ - u ŋ,tʰ - u ŋ,,tʰ - u ŋ
瞳,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
罿,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʂʰ - u ŋ
犝,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
筩,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
潼,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
曈,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
洞,d - o ŋ,d - u ŋ,tʰ - u ŋ,t - u ŋ,,t - u ŋ
侗,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,t - u ŋ
橦,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
烔,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
挏,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,t - u ŋ
酮,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
鲖,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
眮,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
蕫,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,t - u ŋ
穜,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
衕,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
哃,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
絧,d - o ŋ,d - u ŋ,tʰ - u ŋ,,,tʰ - u ŋ
衷,t i o ŋ,ȶ - u ŋ,ʨ - u ŋ,,,tʂ - u ŋ
忠,t i o ŋ,ȶ - u ŋ,ʨ - u ŋ,,,tʂ - u ŋ
虫,d i o ŋ,ȡ - u ŋ,ʨʰ - u ŋ,,tʂʰ - u ŋ,tʂʰ - u ŋ
冲,d i o ŋ,ȡ - u ŋ,ʨʰ - u ŋ,,,tʂʰ - u ŋ
种,d i o ŋ,ȡ - u ŋ,ʨʰ - u ŋ,ʨ i u ŋ,,tʂ - u ŋ
盅,d i o ŋ,ȡ - u ŋ,ʨʰ - u ŋ,,,tʂ - u ŋ
爞,d i o ŋ,ȡ - u ŋ,ʨʰ - u ŋ,,,tʂʰ - u ŋ
